match,date,from_team,latitude_from,longitude_from,next_home,latitude_next,longitude_next,distance,avg_talent
Miami FC vs. Birmingham Legion FC,2025-05-24,Miami FC,25.7639,-80.1899,Texoma FC,33.63773,-96.60976,1124.4304291430735,0.3496842889453112
Texoma FC vs. Greenville Triumph SC,2025-05-25,Texoma FC,33.63773,-96.60976,Indy Eleven,39.7658,-86.156,717.1306449426958,0.2797563452005884
Indy Eleven vs. Hartford Athletic,2025-05-28,Indy Eleven,39.7658,-86.156,Birmingham Legion FC,33.5133982,-86.8009311,432.6132019488721,0.3367745647267485
Birmingham Legion FC vs. Indy Eleven,2025-06-04,Birmingham Legion FC,33.5133982,-86.8009311,Hartford Athletic,41.7539073,-72.661055,959.370555600254,0.358630809906949
Hartford Athletic vs. North Carolina FC,2025-06-06,Hartford Athletic,41.7539073,-72.661055,Forward Madison FC,43.08438492,-89.37054443,858.0315415316578,0.3373295695220969
Forward Madison FC vs. Union Omaha,2025-06-07,Forward Madison FC,43.08438492,-89.37054443,Union Omaha,41.15111542,-96.10290527,370.65359026764736,0.2976994541759503
Union Omaha vs. Greenville Triumph SC,2025-06-12,Union Omaha,41.15111542,-96.10290527,One Knoxville SC,35.97233,-83.915533,749.500872052106,0.3218279089745502
One Knoxville SC vs. Richmond Kickers,2025-06-13,One Knoxville SC,35.97233,-83.915533,Lexington SC,37.9589802,-84.3935367,139.5246073514481,0.3315343595790498
Lexington SC vs. New Mexico United,2025-06-14,Lexington SC,37.9589802,-84.3935367,Charlotte Independence,35.2198156,-80.8292123,273.73491542556127,0.3441068816005068
Charlotte Independence vs. Greenville Triumph SC,2025-06-15,Charlotte Independence,35.2198156,-80.8292123,Birmingham Legion FC,33.5133982,-86.8009311,360.9503426676525,0.3821417675180421
Birmingham Legion FC vs. Sacramento Republic FC,2025-06-18,Birmingham Legion FC,33.5133982,-86.8009311,Lexington SC,37.9589802,-84.3935367,335.00316775928536,0.3933889623367637
Lexington SC vs. Colorado Springs Switchbacks FC,2025-06-20,Lexington SC,37.9589802,-84.3935367,Greenville Triumph SC,34.8511,-82.3988,241.4005827898842,0.3619217538342968
Greenville Triumph SC vs. Chattanooga Red Wolves SC,2025-06-21,Greenville Triumph SC,34.8511,-82.3988,Union Omaha,41.15111542,-96.10290527,863.458584890837,0.3162103319044519
Union Omaha vs. Richmond Kickers,2025-06-25,Union Omaha,41.15111542,-96.10290527,AV Alta FC,34.7016636,-118.1748123,1280.8804821386525,0.3020450736983096
AV Alta FC vs. FC Naples,2025-06-28,AV Alta FC,34.7016636,-118.1748123,Westchester SC,40.711376,-74.004442,2429.4975075618604,0.3053383055309803
Westchester SC vs. Greenville Triumph SC,2025-07-02,Westchester SC,40.711376,-74.004442,Pittsburgh Riverhounds FC,40.41973877,-80.0602951,319.2356678206984,0.2847713893275213
Pittsburgh Riverhounds FC vs. New Mexico United,2025-07-04,Pittsburgh Riverhounds FC,40.41973877,-80.0602951,Rhode Island FC,41.8684026,-71.3831786,463.32930374471806,0.3076055450951612
Rhode Island FC vs. Birmingham Legion FC,2025-07-05,Rhode Island FC,41.8684026,-71.3831786,Portland Hearts of Pine,43.6593917,-70.2638855,136.10049824586503,0.3668816206321643
Portland Hearts of Pine vs. South Georgia Tormenta FC,2025-07-06,Portland Hearts of Pine,43.6593917,-70.2638855,North Carolina FC,35.7873226,-78.7542068,705.9787051193517,0.2601797950717164
