match_id,date,match_home_team,latitude_from,longitude_from,next_team,latitude_next,longitude_next,distance_km,avg_talent
Oakland Roots SC vs. New Mexico United,2025-05-24,Oakland Roots SC,37.7255905,-122.2324865,FC Naples,26.168498,-81.685512,0.0869380173562847,0.319213743983787
Westchester SC vs. Richmond Kickers,2025-05-25,Westchester SC,40.711376,-74.004442,Las Vegas Lights FC,36.17879868,-115.1350327,0.181272805362422,0.2649885540512805
Las Vegas Lights FC vs. Phoenix Rising FC,2025-05-28,Las Vegas Lights FC,36.17879868,-115.1350327,Houston Dynamo FC,29.7513,-95.3578,0.5494562219728776,0.3717046904734317
Houston Dynamo FC vs. Sporting Kansas City,2025-05-31,Houston Dynamo FC,29.7513,-95.3578,Birmingham Legion FC,33.5133982,-86.8009311,0.7921135525321197,0.4992984816452047
Birmingham Legion FC vs. Indy Eleven,2025-06-04,Birmingham Legion FC,33.5133982,-86.8009311,Hartford Athletic,41.7539073,-72.661055,0.6481461496359369,0.358630809906949
Hartford Athletic vs. North Carolina FC,2025-06-06,Hartford Athletic,41.7539073,-72.661055,Sacramento Republic FC,38.5616356,-121.4907504,0.0612566921131396,0.3373295695220969
Rhode Island FC vs. Miami FC,2025-06-07,Rhode Island FC,41.8684026,-71.3831786,Spokane Velocity FC,47.667363,-117.420367,0.1691845025923948,0.3972896298420999
Spokane Velocity FC vs. Charlotte Independence,2025-06-11,Spokane Velocity FC,47.667363,-117.420367,Union Omaha,41.15111542,-96.10290527,0.5810861071518786,0.442365986166591
Union Omaha vs. Greenville Triumph SC,2025-06-12,Union Omaha,41.15111542,-96.10290527,One Knoxville SC,35.97233,-83.915533,0.7251168840409565,0.3218279089745502
One Knoxville SC vs. Richmond Kickers,2025-06-13,One Knoxville SC,35.97233,-83.915533,Sacramento Republic FC,38.5616356,-121.4907504,0.242922612007458,0.3315343595790498
Sacramento Republic FC vs. San Antonio FC,2025-06-14,Sacramento Republic FC,38.5616356,-121.4907504,Portland Hearts of Pine,43.6593917,-70.2638855,0.0266444323150512,0.4376095556788217
